[Sun Dec 15 12:27:22.548421 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57018] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 90, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:22.549422 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57018] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:22.549422 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57018] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:22.549422 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57018] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:28.998790 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57019] PHP Notice:  Trying to get property of non-object in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php on line 89, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:28.998790 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57019] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:28.999790 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57019] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:28.999790 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57019] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.539080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP Warning:  Invalid argument supplied for foreach() in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 74, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP   3. Database->d_query() C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\user.class.php:86, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\\wamp\\www\\Deadly-Mafia\\public\\includes\\class\\database.class.php on line 80, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP Stack trace:, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP   1. {main}() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:0, referer: http://dm.localhost/?auth=facebook
[Sun Dec 15 12:27:51.540080 2013] [:error] [pid 13432:tid 1576] [client 127.0.0.1:57027] PHP   2. User->login() C:\\wamp\\www\\Deadly-Mafia\\public\\index.php:63, referer: http://dm.localhost/?auth=facebook
